,City,Rank,Company,Industry,Funding,Employees,Employee_Growth,Current_Jobs,Job_Links,job_url
30,Atlanta,78,RoadSync,Payments/Transfer,$8.3M,84,87%,1,http://www.linkedin.com/company/roadsync/jobs,https://www.linkedin.com/jobs/view/2787741165/?refId=5jjFhUb0vjnbkV2AM44vuA%3D%3D&trackingId=pqIqJYWNSGbnl4vo56TGdw%3D%3D&trk=d_flagship3_company
31,Atlanta,78,RoadSync,Payments/Transfer,$8.3M,84,87%,1,http://www.linkedin.com/company/roadsync/jobs,https://www.linkedin.com/jobs/view/2786490845/?refId=5jjFhUb0vjnbkV2AM44vuA%3D%3D&trackingId=jARQF996tTazz%2Bnif1c5BA%3D%3D&trk=d_flagship3_company
32,Atlanta,79,Urjanet,Tech Services,$42.8M,435,8%,1,http://www.linkedin.com/company/urjanet-inc/jobs,https://www.linkedin.com/jobs/view/2769115613/?refId=wx2CBX00iNnAJ6VjkHethw%3D%3D&trackingId=VuYHA8g2lZafTGEKpqgTWg%3D%3D&trk=d_flagship3_company
33,Atlanta,79,Urjanet,Tech Services,$42.8M,435,8%,1,http://www.linkedin.com/company/urjanet-inc/jobs,https://www.linkedin.com/jobs/view/2789245500/?refId=wx2CBX00iNnAJ6VjkHethw%3D%3D&trackingId=mZyqN1eKOb%2Fcy%2BpjNLwEpg%3D%3D&trk=d_flagship3_company
34,Atlanta,79,Urjanet,Tech Services,$42.8M,435,8%,1,http://www.linkedin.com/company/urjanet-inc/jobs,https://www.linkedin.com/jobs/view/2790230451/?refId=wx2CBX00iNnAJ6VjkHethw%3D%3D&trackingId=gBAOoTIvSjaEh8iLomeCRg%3D%3D&trk=d_flagship3_company
35,Atlanta,79,Urjanet,Tech Services,$42.8M,435,8%,1,http://www.linkedin.com/company/urjanet-inc/jobs,https://www.linkedin.com/jobs/view/2790488550/?refId=wx2CBX00iNnAJ6VjkHethw%3D%3D&trackingId=r77Ej6Bi1yWi9nCsYFRUsg%3D%3D&trk=d_flagship3_company
36,Atlanta,79,Urjanet,Tech Services,$42.8M,435,8%,1,http://www.linkedin.com/company/urjanet-inc/jobs,https://www.linkedin.com/jobs/view/2811806622/?refId=wx2CBX00iNnAJ6VjkHethw%3D%3D&trackingId=QG9owpGid4%2BPIBXVjkmTZA%3D%3D&trk=d_flagship3_company
37,Atlanta,79,Urjanet,Tech Services,$42.8M,435,8%,1,http://www.linkedin.com/company/urjanet-inc/jobs,https://www.linkedin.com/jobs/view/2799075944/?refId=wx2CBX00iNnAJ6VjkHethw%3D%3D&trackingId=jOcQ0E7e8%2BqGMohnkrAcpw%3D%3D&trk=d_flagship3_company
38,Atlanta,79,Urjanet,Tech Services,$42.8M,435,8%,1,http://www.linkedin.com/company/urjanet-inc/jobs,https://www.linkedin.com/jobs/view/2809761466/?refId=wx2CBX00iNnAJ6VjkHethw%3D%3D&trackingId=kWoVttQ3GzSi8tib7WNnTQ%3D%3D&trk=d_flagship3_company
39,Atlanta,79,Urjanet,Tech Services,$42.8M,435,8%,1,http://www.linkedin.com/company/urjanet-inc/jobs,https://www.linkedin.com/jobs/view/2799080237/?refId=wx2CBX00iNnAJ6VjkHethw%3D%3D&trackingId=8G5QfgNBJarPq3CjhtMyXw%3D%3D&trk=d_flagship3_company
