,Unnamed: 0,Product_URL,Title,Price,Description,Quantity,Part_num
61,61,https://www.com1.com.au/creator-p100a-11tg-848au-i7-11700-32gb-1tb-ssd-rtx-3060-ti-w11-pro-kbmouse-3yrs-white.html,,,,,
62,62,https://www.com1.com.au/creator-p100a-11tg-850au-i7-11700-32gb-512gb-ssd-2tb-rtx-3060-ti-w11-pro-kbmouse-3yrs-black.html,,,,,
63,63,https://www.com1.com.au/creator-p100a-11td-685au-i7-11700f-32gb-512gb-ssd-2tb-rtx-3070-w11-pro-kbmouse-3yrs-black.html,,,,,
64,64,https://www.com1.com.au/creator-p100a-11td-681au-i7-11700f-32gb-1tb-ssd-rtx-3070-w11-pro-kbmouse-3yrs-white.html,,,,,
65,65,https://www.com1.com.au/creator-p100x-11td-679au-i9-11900k-32gb-1tb-ssd-rtx-3070-w11-pro-kbmouse-3yrs-white.html,,,,,
66,66,https://www.com1.com.au/meg-trident-x-10te-1294au-i7-10700k-32g-2tb-ssd-rtx3080-gk30gm11-w10-3yrs.html,,,,,
67,67,https://www.com1.com.au/creator-p100x-11te-675au-i9-11900k-64gb-2tb-ssd-rtx-3080-w11-pro-kbmouse-3yrs-white.html,,,,,
68,68,https://www.com1.com.au/creator-p100x-11te-677au-i9-11900k-64gb-1tb-ssd-4tb-rtx-3080-w11-pro-kbmouse-3yrs-black.html,,,,,
69,69,https://www.com1.com.au/msi-cubi-n-11jsl-008bau-n5000-ddr4-ac-vesa-blk-3yr.html,,,,,
70,70,https://www.com1.com.au/msi-cubi-n-11jsl-007bau-n6000-ddr4-ac-vesa-blk-3yr.html,,,,,
71,71,https://www.com1.com.au/msi-cubi-5-10m-037bau-i3-2ddr4-wifi6bt-5-blk-vesa-3yr.html,,,,,
72,72,https://www.com1.com.au/msi-cubi-5-10m-286au-celeron-5205u-4gb-128gb-ssd-win10pro-blk-vesa-1yr.html,,,,,
73,73,https://www.com1.com.au/msi-cubi-5-10m-285au-pentium-6405u-4gb-128gb-ssd-win10pro-blk-vesa-1yr.html,,,,,
74,74,https://www.com1.com.au/msi-cubi-5-10m-035bau-i5-2ddr4-wifi6bt-5-blk-vesa-3yr.html,,,,,
75,75,https://www.com1.com.au/msi-cubi-5-10m-033bau-i7-2ddr4-wifi6bt-5-blk-vesa-3yr.html,,,,,
76,76,https://www.com1.com.au/msi-cubi-5-10m-221au-i5-10210u-8gb-512gb-ssd-win-10-pro-wifi6bt-5-blk-vesa-3yr.html,,,,,
77,77,https://www.com1.com.au/msi-cubi-5-10m-220au-i5-10210u-16gb-512gb-ssd-win-10h-wifi6bt-5-blk-vesa-3yr.html,,,,,
78,78,https://www.com1.com.au/msi-cubi-5-10m-042au-i5-10210u-16gb-512gb-ssd-win-10-pro-wifi6bt-5-blk-vesa-3yr.html,,,,,
79,79,https://www.com1.com.au/msi-cubi-5-10m-040au-i7-16gb-512gb-ssd-win-10-pro-wifi6bt-5-blk-vesa-3yr.html,,,,,
80,80,https://www.com1.com.au/msi-cubi-5-10m-039au-i7-10510u-32gb-1tb-ssd-win-10-pro-wifi6bt-5-blk-vesa-3yr.html,,,,,
81,81,https://www.com1.com.au/msi-modern-14-b10mw-454au-i5-10210u-8gb-512gb-ssd-14-w10h-1yr.html,,,,,
82,82,https://www.com1.com.au/msi-modern-a10m-1048au-i5-10210u-8gb-512gb-ssd-14-w10h.html,,,,,
83,83,https://www.com1.com.au/infinity-o5-4r7g5ti-888-r7-4800h-8g2-512gb-ssd-gtx1650ti-4g-15fhd-ips-120hz-w10h.html,,,,,
84,84,https://www.com1.com.au/g5-gd-51au123so-i5-11400h-8g2-512ssd-rtx3050-4gb-156-144hz-win11h-blk-2yrs.html,,,,,
85,85,https://www.com1.com.au/g5-gd-51au123sh-i5-11400h-8b2-512ssd-rtx3050-4gb-156-144hz-win10h-blk-2yrs.html,,,,,
86,86,https://www.com1.com.au/g7-gd-51au123so-i5-11400h-8b2-512ssd-rtx3050-4gb-173-144hz-win11h-blk-2yrs.html,,,,,
87,87,https://www.com1.com.au/g5-md-51au123so-i5-11400h-8b2-512ssd-rtx3050ti-4gb-156-144hz-win11h-blk-2yrs.html,,,,,
88,88,https://www.com1.com.au/g7-gd-51au123sh-i5-11400h-8b2-512ssd-rtx3050-4gb-173-144hz-win10h-blk-2yrs.html,,,,,
89,89,https://www.com1.com.au/g5-kd-52au123so-i5-11400h-8b2-512ssd-rtx3060p-6gb-156-144hz-win11h-blk-2yrs.html,,,,,
90,90,https://www.com1.com.au/u4-ud-70au823so-14-fhd-i7-1195g7-ddr4-3200-8gb2-pcie-512gb-m2-ssd-win11-home-2yrs-warranty.html,,,,,
91,91,https://www.com1.com.au/u4-ud-70au823sh-14-fhd-i7-1195g7-ddr4-3200-8gb2-pcie-512gb-m2-ssd-win10-home-2yrs-warranty.html,,,,,
92,92,https://www.com1.com.au/g7-md-71au123so-i7-118000h-8g2-512ssd-rtx3050ti-4gb-173-144hz-win11h-blk-2yrs.html,,,,,
93,93,https://www.com1.com.au/infinity-w5-10r6-888-i7-10875h-16g-512gb-ssd-rtx2060-156-fhd-ips-240hz-mech-kb-w10h.html,,,,,
94,94,https://www.com1.com.au/infinity-o5-10r6-799-i7-10750h-16g-1tbssd-rtx2060-156-fhd-ips-144hz-rgb-kb-w10h.html,,,,,
95,95,https://www.com1.com.au/infinity-o5-11r6n-888-i7-11800h-16g1-512ssd-rtx3060p-6g-156qhd165hz-win10h-2yrs.html,,,,,
96,96,https://www.com1.com.au/aorus-15p-kd-72au223so-i7-11800h-8gb2-512ssd-rtx3060p-6gb-156-240hz-win11h-blk-2yrs.html,,,,,
97,97,https://www.com1.com.au/aorus-15p-kd-72au223sh-i7-11800h-8gb2-512ssd-rtx3060p-6gb-156-240hz-win10h-blk-2yrs.html,,,,,
98,98,https://www.com1.com.au/infinity-o5-5r7r6n-899-r7-5800h-16g1-1tb-ssd-rtx3060p-6g-156qhd165hz-win10h-2yrs.html,,,,,
99,99,https://www.com1.com.au/infinity-m7-11r6n-888-i7-11800h-16g1-512ssd-rtx3060p-6g-173qhd165hz-win10h-2yrs.html,,,,,
100,100,https://www.com1.com.au/infinity-m7-5r7r6n-899-r7-5800h-16g1-1tb-ssd-rtx3060p-6g-173qhd165hz-win10h-2yrs.html,,,,,
101,101,https://www.com1.com.au/infinity-w5-10r7s-899-i7-10875h-16g-1tbssd-rtx2070-super-156-fhd-ips-240hz-mech-kb-w10h.html,,,,,
102,102,https://www.com1.com.au/infinity-w5-bb-r7-5800h-16g1-1tb-ssd-rtx3070p-8g-156-qhd165hz-win10h-2yrs.html,,,,,
103,103,https://www.com1.com.au/infinity-w5-11r7n-888-i7-11800h-16g1-512ssd-rtx3070p-8g-156qhd165hz-win10h-2yrs.html,,,,,
104,104,https://www.com1.com.au/aorus-15p-xd-73au224so-i7-11800h-8gb2-1tbssd-rtx3070p-8gb-156-240hz-win11h-blk-2yrs.html,,,,,
105,105,https://www.com1.com.au/infinity-w5-5r7r7n-899-r9-5900hx-16g1-1tb-ssd-rtx3070p-8g-156-qhd165hz-win10h-2yrs.html,,,,,
106,106,https://www.com1.com.au/infinity-m7-11r7n-888-i7-11800h-16g1-512ssd-rtx3070p-8g-173qhd165hz-win10h-2yrs.html,,,,,
107,107,https://www.com1.com.au/aorus-15p-xd-73au324sh-i7-11800h-8gb2-1tbssd-rtx3070p-8gb-156-300hz-win10h-blk-2yrs.html,,,,,
108,108,https://www.com1.com.au/infinity-m7-5r7r7n-899-r9-5900hx-16g1-1tb-ssd-rtx3070p-8g-173-qhd165hz-win10h-2yrs.html,,,,,
109,109,https://www.com1.com.au/aorus-15p-yd-73au244sh-i7-11800h-16gb2-1tb-ssd-rtx3080p-8gb-156-240hz-win10h-blk-2yrs.html,,,,,
110,110,https://www.com1.com.au/aorus-17g-xd-73au325sh-i7-11800h-8gb2-512ssd-rtx3070q-8gb-173-300hz-win10h-blk-2yrs.html,,,,,
111,111,https://www.com1.com.au/infinity-w5-sys-r9-5900hx-16g2-1tbssd-rtx3080p-16g-156qhd165hz-win10h-2yrs.html,,,,,
112,112,https://www.com1.com.au/infinity-m7-sys-r9-5900h-16g2-1tbssd-rtx3080p-16g-173qhd165hz-win10h-2yrs.html,,,,,
113,113,https://www.com1.com.au/aorus-17g-yd-73au345sh-i7-11800h-16gb2-512gb-ssd-rtx3080q-8gb-173-300hz-win10h-blk-2yrs.html,,,,,
114,114,https://www.com1.com.au/aorus-17g-yd-74au345sh-i7-11800h-16gb2-512gb-ssd-rtx3080q-16gb-173-300hz-win10h-blk-2yrs.html,,,,,
115,115,https://www.com1.com.au/hp-probook-430-g8-i5-1135g7-8gb-256gb-133inhd-wi-fi-6-w10p64-1yr-ow-365g5pa.html,,,,,
116,116,https://www.com1.com.au/hp-probook-440-g7-i5-10210u-8gb-256gb-14-fhd-w10p-lte-wwan-1yr-9up12pa-599697.html,,,,,
117,117,https://www.com1.com.au/lenovo-thinkpad-13s-i7-10510u-16gb-256gb-133fhd-ips-rad630-w10p-1y-20rr005nau.html,,,,,
118,118,https://www.com1.com.au/hp-probook-450-g8-i5-1135g7-8gb-256gb-156inhd-wi-fi-6-w10p64-1yr-ow-365m3pa-703966.html,,,,,
119,119,https://www.com1.com.au/lenovo-thinkpad-e14-i7-1165g7-16gb-512gb-14fhd-w10p-1y-20tacto1ww.html,,,,,
120,120,https://www.com1.com.au/lenovo-thinkpad-e15-g2-i5-1135g7-16gb-512gb-156fhd-mx450-w10p-1y-20tdcto1ww.html,,,,,
121,121,https://www.com1.com.au/hp-probook-430-g8-i7-1165g7-8gb-256gb-133inhd-wi-fi-6-w10p64-1yr-ow-366b7pa.html,,,,,
122,122,https://www.com1.com.au/hp-probook-450-g8-i5-1135g7-8gb-256gb-156inhd-wi-fi-6-w10p64-1yr-ow-4g-lte-365m4pa.html,,,,,
123,123,https://www.com1.com.au/lenovo-thinkpad-13s-i7-10510u-16gb-512gb-133fhd-ips-rad630-w10p-1y-20rr005pau.html,,,,,
124,124,https://www.com1.com.au/hp-probook-450-g8-i5-1135g7-16gb-256gb-156infhd-wi-fi-6-w10p64-1yr-ow-1a893av.html,,,,,
125,125,https://www.com1.com.au/lenovo-thinkpad-e15-g2-i7-1165g7-16gb-512gb-156fhd-mx450-w10p-1y-20td002eau.html,,,,,
126,126,https://www.com1.com.au/lenovo-thinkpad-e14-i7-1165g7-16gb-512gb-14fhd-mx450-w10p-1y-20ta002wau.html,,,,,
127,127,https://www.com1.com.au/hp-probook-450-g8-i7-1165g7-8gb-256gb-156inhd-wi-fi-6-w10p64-1yr-ow-366c5pa.html,,,,,
128,128,https://www.com1.com.au/hp-probook-450-g8-i5-1135g7-16gb-512gb-156infhd-wi-fi-6-w10p64-1yr-ow-45071375935sy-cto-1a893av.html,,,,,
129,129,https://www.com1.com.au/lenovo-thinkpad-l13-i7-10510u-8gb-256gb-133fhd-ips-touch-w10p-1y-20r3001yau.html,,,,,
130,130,https://www.com1.com.au/hp-probook-430-g8-i7-1165g7-16gb-512gb-133inhd-wi-fi-6-w10p64-1yr-ow-366b9pa.html,,,,,
131,131,https://www.com1.com.au/hp-probook-450-g8-1a893av-i5-1135g7-16gb-1tb-156infhd-wi-fi-6-w10p64-3-3-3-45071569530-cto-705365.html,,,,,
132,132,https://www.com1.com.au/lenovo-l13-yoga-gen-2-i7-1165g7-16gb-512gb-14fhd-touch-w10p-3y-82bh0055au.html,,,,,
133,133,https://www.com1.com.au/hp-probook-650-g8-i5-1135g7-16gb-512gb-ssd-156-fhd-w10p64-wwan-1yr-ow-36l72pa.html,,,,,
